Nom;prenom;lieu;telephone
Lelogeay;Geoffroy;Direction;0123456789
Monrolin;Sylvie;Direction;0123456790
Morgant;Fanny;Direction;0123456791
Gervais;Franck;Commercial;0123456792
Bouquet;Alain;Commercial;0123456793
Varak;Anne;Ventes;0123456794
Maringer;Francois;Ventes;0123456795
Poupard;Victor;Ventes;0123456796
Tridant;Soyana;Marketing;0123456797
Barthelemy;Benjamin;Marketing;0123456798
Nadjime;Youssouf;Marketing;0123456799
Perrault;Claudy;Administratif;0123456800
Lefevre;Caroline;Administratif;0123456801
Mansouri;Naima;RH;0123456802
Culot;Nicolas;RH;0123456803
Demanze;Arnaud;Comptabilite;0123456804
Pouzin;Stephane;Comptabilite;0123456805
Piery;Aurelien;Production;0123456806
Piery;Amandine;Production;0123456807
Kiyakara;Gervais;Production;0123456808
Monin;Emerick;Production;0123456809
Magnan;Ludovic;Production;0123456810
Baccous;Laurence;Technique;0123456811
Tello;Benjamin;Technique;0123456812
Vachard;Christian;Technique;0123456813
Janvrin;Jean-Noel;Technique;0123456814
Pawelec;Matthieu;Technique;0123456815
Coopan;Rajanee;Technique;0123456816
